followers,polarity,sentiment_confidence,clusters,difference
531,0.3625,0.639583333,0,0.00140704
160,0,0,4,0
2027,-0.1875,0.5,1,-0.002171861
79,0.1,0.4,1,3.61E-05
49,0,0,4,0
133,0.214285714,0.5,1,0.000162863
147,-0.466666667,0.666666667,3,-0.000522685
15776,-0.2,0,4,0
0,0,0,4,0
2272,0,0.4,1,0
2272,0,0,4,0
3,0.4,0.666666667,0,9.14E-06
2,0.0625,0.5,1,7.14E-07
2272,0,0,4,0
146,0.3,0.2,1,0.000100118
51,0.166666667,0.408333333,1,3.97E-05
775,0.5,0.75,0,0.003321543
5870,0,0,4,0
719,0,0,4,0
14,0,0,4,0
41,0,0,4,0
72810,-0.1875,0.5,1,-0.078013401
734,-0.083333333,0.188888889,4,-0.000132047
57,0,0,4,0
1021,0,0,4,0
57,0.136363636,0.454545455,1,4.04E-05
339,0.25,0.25,1,0.000242151
57,0,0,4,0
57,0,0,4,0
44,0,0,4,0
1042,0,0,4,0
5165,0,0,4,0
158,-0.2,0.1,4,-3.61E-05
1793,0,0,4,0
89,0,0,4,0
41,0.35,0.55,0,9.02E-05
1793,0,0,4,0
356239,0,0,2,0
74,0.5,0.5,0,0.000211436
1793,0,0,4,0
3,0,0,4,0
256,0.8,0.4,0,0.000936261
1,0,0,4,0
1146,0,0.375,1,0
14,0,0,4,0
4356,0,0,4,0
21,0.4,0.8,0,7.68E-05
0,-0.375,0.875,3,0
802,0,0,4,0
1200,-0.208333333,0.541666667,1,-0.001547672
743,0,1,1,0
367,-0.0625,0.625,1,-0.000163845
5426,-0.05,0.716666667,1,-0.002222153
540,0.5,0.6,0,0.001851492
659,0.25,0.5,1,0.000941461
288,0,0,4,0
127,0.1,0.383333333,1,5.56E-05
196,0.046590909,0.558333333,1,5.83E-05
775,0,0,4,0
434,0,0.1,4,0
39,-0.466666667,0.666666667,3,-0.000138671
117,0.35,0.7,0,0.000327611
190,0,0.1,4,0
2,0,0,4,0
5355,-0.1,1,3,-0.006120211
1301,0,0,4,0
4255,0,0,4,0
112,0,0,4,0
292,0.78125,0.5,0,0.001303616
533,-0.3,0.6,3,-0.001096495
455,0.5,0.6,0,0.001560054
51,0,0,4,0
581,0.7,0.9,0,0.004183344
775,-0.071428571,0.142857143,4,-9.04E-05
51,0,0,4,0
1360,0,0,4,0
133,0.125,0.166666667,4,3.17E-05
285,0,0,4,0
228,0,0,4,0
415,0.25,0.333333333,1,0.000395252
1628,0,0,4,0
19147,0,0,4,0
31,0.2,0.1,4,7.09E-06
48,0,0.1,4,0
859,0,0,4,0
139,0,0.5,1,0
149,-0.2,0.4,1,-0.000136233
1110,0,0,4,0
233,-0.75,1,3,-0.001997212
7,0,0,4,0
1848,0.45,0.775,0,0.007365854
40,0,0.4,1,0
0,-0.196428571,0.785714286,3,0
48,-0.2,0.4,1,-4.39E-05
128,0.25,0.3,1,0.000109718
833,0,0,4,0
862,0.136363636,0.5,1,0.000671711
888,0,0,4,0
1054,0.416666667,0.583333333,0,0.002927879
381,0,0,4,0
1024,0.2,0.2,4,0.00046813
1556,0,0,4,0
775,0,0,4,0
166,0.266666667,0.566666667,1,0.000286689
654,0,0,4,0
25,-0.05,0.716666667,1,-1.02E-05
1439,0.1,0.383333333,1,0.000630441
211,-0.75,1,3,-0.001808634
1223,-0.5,1,3,-0.006988812
796,0,0,4,0
192,0.033333333,0.066666667,4,4.88E-06
128,0.4,0.8,0,0.00046813
72,0,0,4,0
5165,0,0,4,0
39,0,0,4,0
7,-0.25,1,3,-2.00E-05
242,0.333333333,0.666666667,0,0.000614624
666,0,0,4,0
1915,-0.375,0.4,3,-0.00328297
45,0,0,4,0
372,0,0,4,0
25,-0.75,1,3,-0.000214293
49,0.4,0.4,0,8.96E-05
286,0.454017857,0.592857143,0,0.000879824
800,0,0,4,0
1462,0.25,0.5,1,0.002088643
437,0.16,0.54,1,0.000431521
185,0,0,4,0
432,0,0,4,0
5165,0,0,4,0
1793,0.285714286,0.535714286,0,0.003136551
72,0.2625,0.4,1,8.64E-05
5165,0.333333333,0.5,0,0.009838434
321,0.566666667,0.616666667,0,0.001282006
240,0,0,4,0
561,0,0,4,0
178,0,1,1,0
133,-0.75,1,3,-0.001140039
5165,0,0,4,0
